lap,pilot,team,lap_time,tire_wear,segment_times,cumulative_time
1,Pecco Bagnaia,Ducati,65.79143983593312,0.0,"[12.541114228147357, np.float64(3.189890834646884), 8.920645779261386, np.float64(4.8132211882615605), np.float64(7.309505624744613), 7.970881472764803, np.float64(3.173909342346538), np.float64(4.284882490882545), 10.40858814932494, np.float64(3.178800725552484)]",65.79143983593312
1,Jorge Martin,Pramac Ducati,66.78347592798043,0.0,"[12.461550253179507, np.float64(3.276204952827852), 9.069807976769603, np.float64(4.940307013560162), np.float64(7.496508697549799), 7.957044214680588, np.float64(3.242428117332032), np.float64(4.395607969345259), 10.663051099821315, np.float64(3.2809656329143264)]",66.78347592798043
1,Marc Marquez,Gresini Ducati,66.76857410432365,0.0,"[13.03172899701968, np.float64(3.2864930486551773), 9.099441759062282, np.float64(4.909689020518392), np.float64(7.47442156695603), 7.967540966680255, np.float64(3.2291962918363475), np.float64(4.306382348254495), 10.225657877641938, np.float64(3.2380222276990493)]",66.76857410432365
1,Enea Bastianini,Ducati,66.57892005271688,0.0,"[13.04741712187267, np.float64(3.234426550199843), 9.046729095694113, np.float64(4.926753999696234), np.float64(7.379063166203295), 7.603400423417159, np.float64(3.203253531447275), np.float64(4.376327637095445), 10.534990728993282, np.float64(3.2265577980975686)]",66.57892005271688
1,Fabio Quartararo,Yamaha,70.9695430238988,0.0,"[13.26114970744308, np.float64(3.575590649687768), 9.610934013205384, np.float64(5.345183028045912), np.float64(8.145788212585488), 8.397445127054125, np.float64(3.4988921372602833), np.float64(4.599776096011441), 11.013067506775611, np.float64(3.5217165458296997)]",70.9695430238988
1,Brad Binder,KTM,70.8336042941239,0.0,"[13.645624889412497, np.float64(3.5848312332892682), 9.657000550791617, np.float64(5.417683033852445), np.float64(8.155762179376083), 7.848442935289168, np.float64(3.5306783240408914), np.float64(4.649333127135079), 10.780033282653676, np.float64(3.564214738283172)]",70.8336042941239
1,Pedro Acosta,KTM,70.417202855185,0.0,"[13.165700729694748, np.float64(3.588964927306822), 9.413651849417015, np.float64(5.382258173642251), np.float64(8.09022575288201), 8.267842390450639, np.float64(3.5290241046604276), np.float64(4.697116272833844), 10.73764241208569, np.float64(3.5447762422115376)]",70.417202855185
1,Maverick Vinales,Aprilia,70.2955862679559,0.0,"[13.641717949808417, np.float64(3.493103765724832), 9.317858548682494, np.float64(5.300325330820639), np.float64(8.022350222651294), 7.968278024581972, np.float64(3.458162909645529), np.float64(4.597706374106507), 11.009298665738429, np.float64(3.486784476195785)]",70.2955862679559
1,Franco Morbidelli,Pramac Ducati,69.80275491622874,0.0,"[13.046752520504663, np.float64(3.40707381127253), 9.623978485140295, np.float64(5.120912086092654), np.float64(7.7871836908360805), 8.135982862825701, np.float64(3.3695581945578996), np.float64(4.531391633709694), 11.388700709278796, np.float64(3.3912209220104206)]",69.80275491622874
1,Marco Bezzecchi,VR46 Ducati,70.23100892595885,0.0,"[13.273525493938042, np.float64(3.5239681913735788), 9.36865567526444, np.float64(5.32968729343393), np.float64(8.017418721549827), 8.287045556618033, np.float64(3.4638418099125774), np.float64(4.6992759883026265), 10.757961341643421, np.float64(3.5096288539223717)]",70.23100892595885
